id,year,items_count,steam_id,playtime_forever,playtime_2weeks,item_id,posted_year,sentiment_analysis
70.0,1998,476,76561198031442694,4,0,251990.0,2014.0,2
70.0,1998,75,76561198030567998,21,0,332800.0,2014.0,2
70.0,1998,75,76561198030567998,21,0,319630.0,2015.0,2
70.0,1998,75,76561198030567998,21,0,6020.0,2015.0,0
70.0,1998,75,76561198030567998,21,0,55230.0,2015.0,2
70.0,1998,75,76561198030567998,21,0,32430.0,2014.0,2
70.0,1998,461,76561198026525528,0,0,346110.0,,2
70.0,1998,112,76561198044031549,33,0,440.0,,2
70.0,1998,112,76561198044031549,33,0,4000.0,,2
70.0,1998,112,76561198044031549,33,0,211820.0,,2
70.0,1998,112,76561198044031549,33,0,10180.0,,2
70.0,1998,112,76561198044031549,33,0,252490.0,,2
70.0,1998,112,76561198044031549,33,0,417860.0,2015.0,0
70.0,1998,365,76561198070257177,339,0,304050.0,2015.0,0
70.0,1998,365,76561198070257177,339,0,297130.0,,2
70.0,1998,365,76561198070257177,339,0,397570.0,,0
70.0,1998,365,76561198070257177,339,0,550.0,2014.0,2
70.0,1998,365,76561198070257177,339,0,206420.0,2014.0,2
70.0,1998,365,76561198070257177,339,0,278360.0,,2
70.0,1998,104,76561198029864696,339,0,22370.0,2015.0,2
70.0,1998,104,76561198029864696,339,0,307690.0,2015.0,2
70.0,1998,104,76561198029864696,339,0,72850.0,2015.0,0
70.0,1998,557,76561198003056556,0,0,432020.0,,2
70.0,1998,557,76561198003056556,0,0,233720.0,2014.0,2
70.0,1998,88,76561198085956238,87,0,224540.0,,0
70.0,1998,88,76561198085956238,87,0,242860.0,,0
70.0,1998,88,76561198085956238,87,0,47410.0,,2
70.0,1998,88,76561198085956238,87,0,34330.0,,0
70.0,1998,246,76561198064433302,133,0,274310.0,2014.0,0
70.0,1998,246,76561198064433302,133,0,4000.0,2014.0,2
70.0,1998,110,76561198020928326,5599,0,70.0,2014.0,2
70.0,1998,110,76561198020928326,5599,0,70.0,2014.0,2
70.0,1998,110,76561198020928326,5599,0,70.0,2014.0,2
70.0,1998,110,76561198020928326,5599,0,70.0,2014.0,2
70.0,1998,460,76561198007437864,0,0,236690.0,,0
70.0,1998,92,76561198150875994,0,0,289130.0,2014.0,2
70.0,1998,129,76561198035363871,739,0,381210.0,,2
70.0,1998,78,76561198017794638,157,0,10680.0,2015.0,2
70.0,1998,78,76561198017794638,157,0,238320.0,2015.0,2
70.0,1998,38,76561198084718144,1404,148,209080.0,2015.0,2
70.0,1998,86,76561198070072786,759,0,417860.0,2015.0,0
70.0,1998,86,76561198070072786,759,0,265930.0,2014.0,2
70.0,1998,86,76561198070072786,759,0,400.0,2014.0,2
70.0,1998,64,76561198027263304,939,0,396900.0,,2
70.0,1998,140,76561198033422731,554,6,33930.0,2013.0,2
70.0,1998,155,76561198091515229,288,0,440.0,2015.0,2
70.0,1998,480,76561198098805637,689,0,440.0,2014.0,2
70.0,1998,480,76561198098805637,689,0,12110.0,2014.0,0
70.0,1998,480,76561198098805637,689,0,221100.0,2015.0,0
70.0,1998,292,76561198074763789,1440,0,203160.0,2015.0,2
70.0,1998,292,76561198074763789,1440,0,242920.0,2015.0,2
70.0,1998,292,76561198074763789,1440,0,314020.0,2015.0,2
70.0,1998,292,76561198074763789,1440,0,223470.0,2015.0,2
70.0,1998,292,76561198074763789,1440,0,57690.0,2015.0,2
70.0,1998,292,76561198074763789,1440,0,317360.0,2015.0,2
70.0,1998,292,76561198074763789,1440,0,233130.0,2015.0,0
70.0,1998,164,76561198040694818,131,0,434260.0,,2
70.0,1998,127,76561198071716213,1625,0,346110.0,2015.0,0
70.0,1998,127,76561198071716213,1625,0,264710.0,2015.0,2
70.0,1998,127,76561198071716213,1625,0,319510.0,2014.0,0
70.0,1998,49,76561198073499629,1385,0,251570.0,2014.0,2
70.0,1998,65,76561198088886078,71,0,730.0,2015.0,2
70.0,1998,133,76561198045663497,292,0,230410.0,2013.0,2
70.0,1998,30,76561198054332392,821,0,462930.0,,0
70.0,1998,30,76561198054332392,821,0,250900.0,,2
70.0,1998,121,76561198089131001,276,0,203140.0,2014.0,2
70.0,1998,160,76561198050768829,30,0,730.0,2015.0,0
70.0,1998,110,76561198075871336,249,0,322330.0,,0
70.0,1998,110,76561198075871336,249,0,214560.0,,2
70.0,1998,110,76561198075871336,249,0,34900.0,2015.0,2
70.0,1998,296,76561198042491778,1858,0,234140.0,,0
70.0,1998,296,76561198042491778,1858,0,322500.0,,2
70.0,1998,296,76561198042491778,1858,0,620.0,,2
70.0,1998,296,76561198042491778,1858,0,230410.0,2015.0,2
70.0,1998,38,76561198013980048,22,0,730.0,2015.0,0
70.0,1998,38,76561198013980048,22,0,4000.0,2014.0,2
70.0,1998,116,76561198081369943,1894,0,550.0,2014.0,2
70.0,1998,116,76561198081369943,1894,0,261820.0,2014.0,2
70.0,1998,75,76561198074417910,1840,0,440.0,2014.0,2
70.0,1998,75,76561198074417910,1840,0,220.0,2015.0,2
70.0,1998,75,76561198074417910,1840,0,130.0,2015.0,2
70.0,1998,75,76561198074417910,1840,0,12110.0,2015.0,2
70.0,1998,231,76561198065934504,193,0,43160.0,2014.0,2
70.0,1998,231,76561198065934504,193,0,24960.0,2015.0,2
70.0,1998,231,76561198065934504,193,0,215670.0,2013.0,2
70.0,1998,102,76561198073940892,0,0,261180.0,,2
70.0,1998,102,76561198073940892,0,0,570.0,2014.0,2
70.0,1998,95,76561198064959709,130,0,99900.0,2014.0,2
70.0,1998,133,76561198067925526,99,0,221680.0,,2
70.0,1998,133,76561198067925526,99,0,298110.0,2015.0,2
70.0,1998,138,76561198045897764,767,0,1840.0,,2
70.0,1998,138,76561198045897764,767,0,311210.0,2015.0,0
70.0,1998,138,76561198045897764,767,0,261980.0,2014.0,2
70.0,1998,138,76561198045897764,767,0,240.0,2013.0,2
70.0,1998,34,76561198033947743,742,0,221380.0,2013.0,2
70.0,1998,356,76561198026475457,0,0,340170.0,2015.0,2
70.0,1998,141,76561198097795611,368,0,374320.0,,0
70.0,1998,141,76561198097795611,368,0,300550.0,,2
70.0,1998,104,76561198058023700,1306,0,218230.0,2014.0,2
70.0,1998,124,76561198044619788,1387,0,19830.0,2014.0,2
70.0,1998,686,76561198047296721,64,0,212680.0,2014.0,0
70.0,1998,686,76561198047296721,64,0,219830.0,2013.0,2
70.0,1998,164,76561198062039159,787,0,570.0,2014.0,2
70.0,1998,164,76561198062039159,787,0,222880.0,2014.0,2
70.0,1998,164,76561198062039159,787,0,200510.0,,0
70.0,1998,164,76561198062039159,787,0,730.0,2015.0,2
70.0,1998,164,76561198062039159,787,0,8930.0,2014.0,2
70.0,1998,164,76561198062039159,787,0,221640.0,2013.0,0
70.0,1998,164,76561198062039159,787,0,570.0,2014.0,2
70.0,1998,164,76561198062039159,787,0,222880.0,2014.0,2
70.0,1998,164,76561198062039159,787,0,200510.0,,0
70.0,1998,164,76561198062039159,787,0,730.0,2015.0,2
70.0,1998,164,76561198062039159,787,0,8930.0,2014.0,2
70.0,1998,164,76561198062039159,787,0,221640.0,2013.0,0
70.0,1998,164,76561198062039159,787,0,570.0,2014.0,2
70.0,1998,164,76561198062039159,787,0,222880.0,2014.0,2
70.0,1998,164,76561198062039159,787,0,200510.0,,0
70.0,1998,164,76561198062039159,787,0,730.0,2015.0,2
70.0,1998,164,76561198062039159,787,0,8930.0,2014.0,2
70.0,1998,164,76561198062039159,787,0,221640.0,2013.0,0
70.0,1998,164,76561198062039159,787,0,570.0,2014.0,2
70.0,1998,164,76561198062039159,787,0,222880.0,2014.0,2
70.0,1998,164,76561198062039159,787,0,200510.0,,0
70.0,1998,164,76561198062039159,787,0,730.0,2015.0,2
70.0,1998,164,76561198062039159,787,0,8930.0,2014.0,2
70.0,1998,164,76561198062039159,787,0,221640.0,2013.0,0
70.0,1998,83,76561198067281209,538,0,363970.0,,2
70.0,1998,41,76561198065040968,1064,0,205100.0,2015.0,0
70.0,1998,41,76561198065040968,1064,0,238240.0,2015.0,2
70.0,1998,41,76561198065040968,1064,0,219740.0,2014.0,2
70.0,1998,209,76561198042164186,358,0,241600.0,2013.0,2
70.0,1998,623,76561198007828742,0,0,246420.0,2014.0,2
70.0,1998,623,76561198007828742,0,0,233720.0,2013.0,2
70.0,1998,623,76561198007828742,0,0,107100.0,2013.0,2
70.0,1998,53,76561198141411771,58,58,264710.0,2015.0,2
70.0,1998,208,76561198042237966,33,0,214830.0,2014.0,2
70.0,1998,208,76561198042237966,33,0,248820.0,2014.0,2
70.0,1998,208,76561198042237966,33,0,8870.0,2014.0,0
70.0,1998,208,76561198042237966,33,0,42910.0,2014.0,2
70.0,1998,208,76561198042237966,33,0,113200.0,2013.0,2
70.0,1998,220,76561198042022468,117,0,224480.0,2014.0,2
70.0,1998,174,76561198038398765,1320,0,208090.0,2014.0,2
70.0,1998,174,76561198038398765,1320,0,227220.0,2014.0,2
70.0,1998,174,76561198038398765,1320,0,204300.0,,0
70.0,1998,174,76561198038398765,1320,0,310370.0,2015.0,2
70.0,1998,174,76561198038398765,1320,0,346900.0,2015.0,2
70.0,1998,174,76561198038398765,1320,0,304050.0,2015.0,2
70.0,1998,174,76561198038398765,1320,0,286080.0,2014.0,2
70.0,1998,222,76561198026599584,1062,0,245910.0,2014.0,2
70.0,1998,222,76561198026599584,1062,0,113204.0,2014.0,2
70.0,1998,222,76561198026599584,1062,0,204360.0,2015.0,2
70.0,1998,222,76561198026599584,1062,0,208090.0,2014.0,2
70.0,1998,134,76561198063474717,461,0,219890.0,2013.0,2
70.0,1998,134,76561198063474717,461,0,620.0,2012.0,2
70.0,1998,378,76561197999532036,523,0,386070.0,2015.0,0
70.0,1998,378,76561197999532036,523,0,230190.0,2015.0,0
70.0,1998,243,76561198042187538,278,0,304930.0,2014.0,2
70.0,1998,243,76561198042187538,278,0,200210.0,2014.0,2
70.0,1998,123,76561198070090079,101,0,413150.0,,2
70.0,1998,102,76561198030159533,1344,0,226700.0,,0
70.0,1998,102,76561198030159533,1344,0,315430.0,2015.0,0
70.0,1998,102,76561198030159533,1344,0,218470.0,2014.0,2
70.0,1998,102,76561198030159533,1344,0,226700.0,,0
70.0,1998,102,76561198030159533,1344,0,315430.0,2015.0,0
70.0,1998,102,76561198030159533,1344,0,218470.0,2014.0,2
70.0,1998,102,76561198030159533,1344,0,226700.0,,0
70.0,1998,102,76561198030159533,1344,0,315430.0,2015.0,0
70.0,1998,102,76561198030159533,1344,0,218470.0,2014.0,2
70.0,1998,102,76561198030159533,1344,0,226700.0,,0
70.0,1998,102,76561198030159533,1344,0,315430.0,2015.0,0
70.0,1998,102,76561198030159533,1344,0,218470.0,2014.0,2
70.0,1998,103,76561198098419496,1023,0,472060.0,,2
70.0,1998,103,76561198098419496,1023,0,6060.0,2015.0,2
70.0,1998,124,76561198094936736,265,0,297120.0,2014.0,0
70.0,1998,124,76561198094936736,265,0,238320.0,2014.0,2
70.0,1998,124,76561198094936736,265,0,239200.0,2014.0,2
70.0,1998,124,76561198094936736,265,0,229580.0,2014.0,0
70.0,1998,124,76561198094936736,265,0,329830.0,2014.0,0
70.0,1998,124,76561198094936736,265,0,305620.0,2014.0,2
70.0,1998,124,76561198094936736,265,0,242760.0,2014.0,2
70.0,1998,124,76561198094936736,265,0,72200.0,2014.0,2
70.0,1998,144,76561198036524567,101,0,440.0,2014.0,2
70.0,1998,78,76561198031010329,187,0,10130.0,2014.0,2
70.0,1998,213,76561198069320423,407,0,4000.0,,2
70.0,1998,213,76561198069320423,407,0,357480.0,,2
70.0,1998,213,76561198069320423,407,0,49520.0,2014.0,2
70.0,1998,1120,76561197994367028,42,0,239350.0,2013.0,0
70.0,1998,52,76561198038099679,618,0,570.0,2015.0,2
70.0,1998,93,76561198065863302,0,0,385370.0,,2
70.0,1998,285,76561198022552926,70,0,620.0,2013.0,2
70.0,1998,84,76561198054199777,541,0,214790.0,2013.0,2
70.0,1998,88,76561198007463920,35,0,4000.0,2015.0,2
70.0,1998,88,76561198007463920,35,0,1840.0,2014.0,2
70.0,1998,88,76561198007463920,35,0,238460.0,2014.0,2
