,publisher,genres,title,id,developer,Action,Adventure,Animation &amp; Modeling,Audio Production,Casual,Design &amp; Illustration,Early Access,Education,Free to Play,Indie,Massively Multiplayer,Photo Editing,RPG,Racing,Simulation,Software Training,Sports,Strategy,Utilities,Video Production,Web Publishing,year
88310,Kotoshiro,"Action, Casual, Indie, Simulation, Strategy",Lost Summoner Kitty,761140.0,Kotoshiro,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2018
88311,"Making Fun, Inc.","Free to Play, Indie, RPG, Strategy",Ironbound,643980.0,Secret Level SRL,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,2018
88312,Poolians.com,"Casual, Free to Play, Indie, Simulation, Sports",Real Pool 3D - Poolians,670290.0,Poolians.com,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2017
88313,彼岸领域,"Action, Adventure, Casual",弹炸人2222,767400.0,彼岸领域,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
88315,Trickjump Games Ltd,"Action, Adventure, Simulation",Battle Royale Trainer,772540.0,Trickjump Games Ltd,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2018
88317,Poppermost Productions,"Free to Play, Indie, Simulation, Sports",SNOW - All Access Pro Pass,774277.0,Poppermost Productions,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2018
88318,Poppermost Productions,"Free to Play, Indie, Simulation, Sports",SNOW - All Access Legend Pass,774278.0,Poppermost Productions,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2018
88322,Stegalosaurus Game Development,"Action, Adventure, Casual, Indie, RPG",Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,770380.0,Stegalosaurus Game Development,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2018
88323,Copperpick Studio,"Casual, Indie",Beach Rules,768880.0,Copperpick Studio,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2018
88324,Ghulam Jewel,"Casual, Indie, Simulation",Planetarium 2 - Zen Odyssey,765320.0,Ghulam Jewel,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2018
88325,Apillo,"Adventure, Casual, Indie, Simulation, Strategy",The first thrust of God,773650.0,Apillo,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2018
88326,Poppermost Productions,"Free to Play, Indie, Simulation, Sports",SNOW - Starter Pack,774271.0,Poppermost Productions,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2018
88327,Apillo,"Adventure, Casual, Indie, Simulation, Strategy",The first thrust of God - All Aircrafts,773690.0,Apillo,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2018
88328,Poppermost Productions,"Free to Play, Indie, Simulation, Sports",SNOW - Lifetime Pack,774279.0,Poppermost Productions,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2018
88331,Tero Lunkka,"Action, Adventure, Indie",The Warrior Of Treasures,768060.0,Tero Lunkka,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2018
88333,FrozenPepper,"Racing, Simulation, Sports",RC Plane 3 - Canyon Scenario,775880.0,FrozenPepper,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2017
88334,FrozenPepper,"Racing, Simulation, Sports",RC Plane 3 - F-53B,775881.0,FrozenPepper,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2017
88335,Casey Labrack,"Action, Indie",DinoBlaster,653960.0,Casey Labrack,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2018
88337,Stainless Games Ltd,"Action, Indie, Racing",Carmageddon Max Pack,282010.0,Stainless Games Ltd,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1997
88338,Valve,Action,Half-Life,70.0,Valve,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998
88339,dev4play,"Action, Indie, RPG",Fallen Mage,752360.0,dev4play,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2016
88343,ETGgames,"Casual, Indie, Simulation",Vaporwave Simulator,766850.0,ETGgames,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2018
88348,Cisamid Inc.,"Adventure, Casual, Indie, RPG",Bitcoin Clicker,716110.0,"lalalaZero,Urbanoff",0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2018
88349,Strategy First,Strategy,Disciples II: Gallean's Return,1640.0,Strategy First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
88350,Strategy First,Strategy,Disciples II: Rise of the Elves,1630.0,Strategy First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
88351,Blazing Griffin Ltd.,"Action, Indie, RPG",The Ship: Murder Party,2400.0,Outerlight Ltd.,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2006
88356,Ultraint,"Action, Indie, Strategy, Early Access",Souland,759920.0,Ultraint,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2017
88358,TPM.CO SOFT WORKS,"Action, Adventure, Indie, RPG",TAROTICA VOO DOO,603280.0,TPM.CO SOFT WORKS,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2017
